Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-UIRibbon,Information,1,0,Microsoft-Windows-UIRibbon/Diagnostic,NetUIPaint,Start,Default,
Microsoft-Windows-UIRibbon,Information,2,0,Microsoft-Windows-UIRibbon/Diagnostic,NetUIPaint,Stop,Default,
Microsoft-Windows-UIRibbon,Information,3,0,Microsoft-Windows-UIRibbon/Diagnostic,RibbonTabActivated,,Default,
Microsoft-Windows-UIRibbon,Information,4,0,Microsoft-Windows-UIRibbon/Diagnostic,RibbonToggled,,Default,
Microsoft-Windows-UIRibbon,Information,5,0,Microsoft-Windows-UIRibbon/Diagnostic,NetUIMouseEnter,,Default,
Microsoft-Windows-UIRibbon,Information,6,0,Microsoft-Windows-UIRibbon/Diagnostic,NetUIMouseLeave,,Default,
Microsoft-Windows-UIRibbon,Information,7,0,Microsoft-Windows-UIRibbon/Diagnostic,NetUIMouseButtonDown,,Default,
Microsoft-Windows-UIRibbon,Information,8,0,Microsoft-Windows-UIRibbon/Diagnostic,NetUIMouseButtonUp,,Default,
Microsoft-Windows-UIRibbon,Information,9,0,Microsoft-Windows-UIRibbon/Diagnostic,RibbonResized,,Default,
Microsoft-Windows-UIRibbon,Information,10,0,Microsoft-Windows-UIRibbon/Diagnostic,NetUIContainerCreated,,Default,
Microsoft-Windows-UIRibbon,Information,11,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicRender,Start,Default,
Microsoft-Windows-UIRibbon,Information,12,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicRender,Stop,Default,
Microsoft-Windows-UIRibbon,Information,13,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicUiaGetObject,Start,Default,
Microsoft-Windows-UIRibbon,Information,14,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicUiaGetObject,Stop,Default,
Microsoft-Windows-UIRibbon,Information,15,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicTreeWalker,Start,Default,
Microsoft-Windows-UIRibbon,Information,16,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicTreeWalker,Stop,Default,
Microsoft-Windows-UIRibbon,Information,17,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicRaiseRoutedEvent,Start,Default,
Microsoft-Windows-UIRibbon,Information,18,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicRaiseRoutedEvent,Stop,Default,
Microsoft-Windows-UIRibbon,Information,19,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicRaisePropertyChangeEvent,Start,Default,
Microsoft-Windows-UIRibbon,Information,20,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicRaisePropertyChangeEvent,Stop,Default,
Microsoft-Windows-UIRibbon,Information,21,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicUiaElementProviderFromPoint,Start,Default,
Microsoft-Windows-UIRibbon,Information,22,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicUiaElementProviderFromPoint,Stop,Default,
Microsoft-Windows-UIRibbon,Information,23,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicUiaGetPropertyValue,Start,Default,
Microsoft-Windows-UIRibbon,Information,24,0,Microsoft-Windows-UIRibbon/Diagnostic,ScenicUiaGetPropertyValue,Stop,Default,
Microsoft-Windows-UIRibbon,Information,25,0,Microsoft-Windows-UIRibbon/Diagnostic,RibbonSqm,,Default,
Microsoft-Windows-UIRibbon,Information,26,0,Microsoft-Windows-UIRibbon/Diagnostic,FontControlsInitializeFMS,Start,Default,
Microsoft-Windows-UIRibbon,Information,27,0,Microsoft-Windows-UIRibbon/Diagnostic,FontControlsInitializeFMS,Stop,Default,
Microsoft-Windows-UIRibbon,Information,28,0,Microsoft-Windows-UIRibbon/Diagnostic,FontControlsEnumeration,Start,Default,
Microsoft-Windows-UIRibbon,Information,29,0,Microsoft-Windows-UIRibbon/Diagnostic,FontControlsEnumeration,Stop,Default,
Microsoft-Windows-UIRibbon,Information,30,0,Microsoft-Windows-UIRibbon/Diagnostic,FontControlsGenerateBitmaps,Start,Default,
Microsoft-Windows-UIRibbon,Information,31,0,Microsoft-Windows-UIRibbon/Diagnostic,FontControlsGenerateBitmaps,Stop,Default,
Microsoft-Windows-UIRibbon,Information,32,0,Microsoft-Windows-UIRibbon/Diagnostic,FontControlsGalleryLoadItems,Start,Default,
Microsoft-Windows-UIRibbon,Information,33,0,Microsoft-Windows-UIRibbon/Diagnostic,FontControlsGalleryLoadItems,Stop,Default,
Microsoft-Windows-SCPNP,Error,1000,0,System,,,,Could not get device ID for smart card in reader {ReaderName}. The return code is {ErrorCode}.
Microsoft-Windows-SCPNP,Information,1001,0,System,,,,Software successfully installed for smart card in reader {ReaderName}. The smart card name is {FriendlyName}.
Microsoft-Windows-SQM-Events,Information,1,0,,,Start,,
Microsoft-Windows-SQM-Events,Information,2,0,,,Stop,,
Microsoft-Windows-SQM-Events,Information,3,0,,,,,
Microsoft-Windows-SQM-Events,Information,3,1,,,,,
Microsoft-Windows-SQM-Events,Information,4,0,,,,,
Microsoft-Windows-SQM-Events,Information,4,1,,,,,
Microsoft-Windows-SQM-Events,Information,5,0,,,,,
Microsoft-Windows-SQM-Events,Information,5,1,,,,,
Microsoft-Windows-SQM-Events,Information,6,0,,,Stop,,
Microsoft-Windows-SQM-Events,Information,6,1,,,Stop,,
Microsoft-Windows-SQM-Events,Information,7,0,,,,,
Microsoft-Windows-SQM-Events,Information,7,1,,,,,
Microsoft-Windows-SQM-Events,Information,8,0,,,,,
Microsoft-Windows-SQM-Events,Information,8,1,,,,,
Microsoft-Windows-SQM-Events,Information,9,0,,,,,
Microsoft-Windows-SQM-Events,Information,9,1,,,,,
Microsoft-Windows-SQM-Events,Information,10,0,,,,,
Microsoft-Windows-SQM-Events,Information,10,1,,,,,
Microsoft-Windows-SQM-Events,Information,11,0,,,,,
Microsoft-Windows-SQM-Events,Information,11,1,,,,,
Microsoft-Windows-SQM-Events,Information,12,0,,,,,
Microsoft-Windows-SQM-Events,Information,13,0,,,,,
Microsoft-Windows-SQM-Events,Information,14,0,,,,,
Microsoft-Windows-SQM-Events,Information,15,0,,,,,
Microsoft-Windows-SQM-Events,Information,16,0,,,,,
Microsoft-Windows-SQM-Events,Information,17,0,,,,,
Microsoft-Windows-XWizards,Information,81,0,Application,,,,{Caption}-{Text}
Microsoft-Windows-XWizards,Warning,82,0,Application,,,,{Caption}-{Text}
Microsoft-Windows-XWizards,Error,83,0,Application,,,,{Caption}-{Text}
Microsoft-Windows-Server For NFS,Information,1,0,Microsoft-Windows-Server For NFS/Operational,,,,Mount operation succeeded. Address:{Address}Share:{FileName}
Microsoft-Windows-Server For NFS,Information,2,0,Microsoft-Windows-Server For NFS/Operational,,,,Mount operation failed. Address:{Address}Share:{FileName}
Microsoft-Windows-Server For NFS,Information,3,0,Microsoft-Windows-Server For NFS/Operational,,,,UnMount operation succeeded. Address:{Address}Share:{FileName}
Microsoft-Windows-Server For NFS,Information,4,0,Microsoft-Windows-Server For NFS/Operational,,,,UnMount operation failed. Address:{Address}Share:{FileName}
Microsoft-Windows-Server For NFS,Information,5,0,Microsoft-Windows-Server For NFS/Operational,,,,Create operation succeeded. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,6,0,Microsoft-Windows-Server For NFS/Operational,,,,Create operation failed. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,7,0,Microsoft-Windows-Server For NFS/Operational,,,,Delete operation succeeded. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,8,0,Microsoft-Windows-Server For NFS/Operational,,,,Delete operation failed. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,9,0,Microsoft-Windows-Server For NFS/Operational,,,,Lock operation succeeded. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,10,0,Microsoft-Windows-Server For NFS/Operational,,,,Lock operation failed. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,11,0,Microsoft-Windows-Server For NFS/Operational,,,,Unlock operation succeeded. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,12,0,Microsoft-Windows-Server For NFS/Operational,,,,Unlock operation failed. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,13,0,Microsoft-Windows-Server For NFS/Operational,,,,Read operation succeeded. Address:{Address}File:{FileName}
Microsoft-Windows-Server For NFS,Information,14,0,Microsoft-Windows-Server For NFS/Operational,,,,Read operation failed. Address:{Address}File:{FileName}
