Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1000,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1001,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1002,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows cannot find the remote computer that contains the connection.                         Make sure that: 	-    You typed the correct connection URL 	-    Your computer can connect to the internet                        Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1003,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,Windows cannot find the remote computer that contains the connection.                         Make sure that: 	-    You typed the correct connection URL 	-    Your computer can connect to the internet                        Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1004,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,The URL you typed does not have a connection. Make sure that: 	-    You typed the correct connection URL                        Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1005,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,The URL you typed does not have a connection. Make sure that: 	-    You typed the correct connection URL                        Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1006,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,The connection update timed out.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1007,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,The connection update timed out.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Warning,1008,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Some available resources could not be downloaded. Resources available: {NumResourcesAvailable} Resources downloaded: {NumResourcesDownloaded} Resources not downloaded: {NumResourcesNotDownloaded}                         Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Warning,1009,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,Some available resources could not be downloaded. Resources available: {NumResourcesAvailable} Resources downloaded: {NumResourcesDownloaded} Resources not downloaded: {NumResourcesNotDownloaded}                         Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Warning,1010,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,There are currently no resources available in this connection. Your workplace administrator might not have published any programs or desktops for you to access.                        In the future; use RemoteApp and Desktop Connections in Control Panel to check for updates to this connection.                        Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Warning,1011,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,There are currently no resources available in this connection. Your workplace administrator might not have published any programs or desktops for you to access.                        In the future; use RemoteApp and Desktop Connections in Control Panel to check for updates to this connection.                        Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1012,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,There is a problem with this connection's security certificate. The remote computer cannot be authenticated due to problems with its security certificate.                        Security certificate problems might indicate an attempt to fool you or intercept data you send to the remote computer.                        Windows cannot continue setting up this connection. Contact your workplace administrator for assistance.                         Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1013,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,There is a problem with this connection's security certificate. The remote computer cannot be authenticated due to problems with its security certificate.                        Security certificate problems might indicate an attempt to fool you or intercept data you send to the remote computer.                        Windows cannot continue setting up this connection. Contact your workplace administrator for assistance.                         Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1014,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,The credentials that were used to connect to {Name} did not work.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1015,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,The credentials that were used to connect to {Name} did not work.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1016,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,An update to this connection is already in progress. Please try again later.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1017,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,The following resource could not be downloaded: {ResourceURL} Make sure that:                        	-     The file exists on the remote computer 	-     Your computer has the client software to use this resource                         	-     Your computer can connect to the Internet 	-     You typed the correct connection URL                        Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Error,1018,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Update,,,The following resource could not be downloaded: {ResourceURL} Make sure that:                        	-     The file exists on the remote computer 	-     Your computer has the client software to use this resource                         	-     Your computer can connect to the Internet 	-     You typed the correct connection URL                        Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional}
Microsoft-Windows-RemoteApp and Desktop Connections,Information,1019,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,You have successfully set up the following connection:Connection name: {Name}Connection URL: {FeedURL}
Microsoft-Windows-RemoteApp and Desktop Connections,Information,1020,0,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,The connection has been successfully removed:Connection name: {Name}Connection URL: {FeedURL}
