Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_Key_Validation,Start,,Windows 8,8,Pro,1970/01/01,9200,,
100,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_Key_Validation,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
101,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_Key_Validation,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
101,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_Key_Validation,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
200,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_Process,Start,,Windows 8,8,Pro,1970/01/01,9200,,
200,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_Process,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
201,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_Process,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
201,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_Process,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
300,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_WU,Start,,Windows 8,8,Pro,1970/01/01,9200,,
300,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_WU,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
301,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_WU,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
301,0,Information,Microsoft-Windows-Anytime-Upgrade/Analytic,Anytime_Upgrade_WU,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
