Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10,0,Information,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server successfully created the following URL group: {name}.,{name}
11,0,Error,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server encountered error {hr} when it tried to create the following URL group:{name}.,{hr} | {name}
20,0,Information,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server successfully deleted the following URL group: {name}.,{name}
21,0,Error,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server encountered error {hr} when it tried to delete the following URL group: {name}.,{hr} | {name}
30,0,Information,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server successfully added the {suffix} URL; which points to the {filepath} file.This URL is in the following URL group: {urlgroup}.The permissions on the URL are set to {sddl}.,{suffix} | {filepath} | {urlgroup} | {sddl}
31,0,Error,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server encountered error {hr} when it tried to add the {suffix} URL to the following URL group: {urlgroup}.,{hr} | {suffix} | {urlgroup}
32,0,Information,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server successfully deleted the following URL from the {urlgroup} URL group: {suffix}.,{urlgroup} | {suffix}
33,0,Error,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server encountered error {hr} when it tried to delete the {suffix} URL from the following URL group: {urlgroup}.,{hr} | {suffix} | {urlgroup}
50,0,Warning,Microsoft-Windows-Bits-CompactServer/Analytic,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server cannot process the request for the following URL in the {urlgroup} URL group: {urlsuffix}. The request failed in step {ErrorCause} with the following error: {hr}.,{urlgroup} | {urlsuffix} | {ErrorCause} | {hr}
51,0,Warning,Microsoft-Windows-Bits-CompactServer/Analytic,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server cannot process the request for the following URL: {url}. The request failed with a status of {hr}.,{url} | {hr}
60,0,Warning,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Authentication is not enabled for the following URL group: {name}.,{name}
61,0,Warning,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,NTLM authentication is enabled for the following URL group: {name}.,{name}
62,0,Information,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Authentication is enabled for the following URL group: {name}.Negotiate authentication is set to {NegotiateAuthSchemeEnabled}. NTLM authentication is set to {NtlmAuthSchemeEnabled}. The certificate authentication flag is set to {CertificateAuthSchemeEnabled}.,{name} | {NegotiateAuthSchemeEnabled} | {NtlmAuthSchemeEnabled} | {CertificateAuthSchemeEnabled}
63,0,Error,Microsoft-Windows-Bits-CompactServer/Operational,,Start,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,BITS Compact Server encountered the error {hr} when it tried to enable authentication for the following URL group: {name}.,{hr} | {name}
300,0,Warning,Microsoft-Windows-Bits-CompactServer/Operational,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The BITSCompactServer service shut down successfully; but it was delayed for {number} seconds.  This might cause delays when you turn off your computer.,{number}
301,0,Error,Microsoft-Windows-Bits-CompactServer/Operational,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The BITSCompactServer service has detected an exception. Error code: {hr}.,{hr}
