Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1113260059,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Active Directory Certificate Services is configured to use LDAP referrals to request user data from the Active Directory directory service.,
1113325584,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The {CertificateTemplateName} Certificate Template was loaded.,{CertificateTemplateName}
1113325585,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The {CertificateTemplateName} Certificate Template requires {RequiredSignatureCount} signatures; but only {AccepedSignatureCount} were accepted.,{CertificateTemplateName} | {RequiredSignatureCount} | {AccepedSignatureCount}
2187001861,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The Active Directory Certificate Services Policy contains no valid Certificate Templates.,
2187001882,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Active Directory Certificate Services detected that LDAP referrals are enabled. The current license of Windows does not allow LDAP referrals for Active Directory Certificate Services and this setting will be ignored. To disable LDAP referrals; open a command prompt window; type: certutil -setreg policy\EditFlags -EDITF_ENABLELDAPREFERRALS and press Enter and restart the CA.,
2187067399,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The Enrollee ({EnrolleeName}) has no DNS name registered in the Active Directory. The certificate cannot be generated.,{EnrolleeName}
2187067400,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The Enrollee ({EnrolleeName}) has no E-Mail name registered in the Active Directory.  The E-Mail name will not be included in the certificate.,{EnrolleeName}
2187067405,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The {CertificateTemplateName} Certificate Template could not be loaded.  {ErrorCode}.,{CertificateTemplateName} | {ErrorCode}
2187067411,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The certificate validity period will be shorter than the {CertificateTemplateName} Certificate Template specifies; because the template validity period is longer than the maximum certificate validity period allowed by the CA.  Consider renewing the CA certificate; reducing the template validity period; or increasing the registry validity period.,{CertificateTemplateName}
3260743684,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Active Directory Certificate Services could not find required Active Directory information.,
3260743692,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The Active Directory containing the Certification Authority could not be contacted.,
3260743701,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Initialization failure loading information from the Active Directory containing the Certification Authority.,
3260743705,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The requested validity period is invalid. Confirm that the validity period or expiration date and time specified in the request does not extend beyond the validity period of the CA certificate; the certificate template; and the CA. The validity period of the CA can be verified by running the following commands: certutil -getreg ca\validityPeriod & certutil -getreg ca\ValdityPeriodUnits.,
3260743709,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The key archival request specified that it should not be persisted in the database. Key Archival requests must always be persisted.,
3260809225,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The Enrollee was not able to successfully authenticate to the Certificate Service.  Please check your security settings.,
3260809226,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The request was for a certificate template that is not supported by the Active Directory Certificate Services policy: {CertificateTemplateName}.,{CertificateTemplateName}
3260809227,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The request does not contain a certificate template extension or the {RequestAttributeName} request attribute.,{RequestAttributeName}
3260809230,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The request specifies conflicting certificate templates: {TemplateNames}.,{TemplateNames}
3260809231,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The Active Directory connection to {OldDSHostName} has been reestablished to {NewDSHostName}.,{OldDSHostName} | {NewDSHostName}
3260809234,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The {CertificateTemplateName} Certificate Template requires the following issuance policies that signing certificates did not include: {MissingIssuancePolicyOIDsInSigningCertificate}.,{CertificateTemplateName} | {MissingIssuancePolicyOIDsInSigningCertificate}
3260809236,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Renewing a certificate with the {CertificateTemplateName} Certificate Template failed because the renewal overlap period is longer than the certificate validity period.,{CertificateTemplateName}
3260809238,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The requester's Active Directory object is not in the current forest.  Cross forest enrollment is not enabled.  {RequesterName}  {ErrorCode},{RequesterName} | {ErrorCode}
3260809239,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The requester's Active Directory object could not be retrieved.  {RequesterName}  {ErrorCode},{RequesterName} | {ErrorCode}
3260809240,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Active Directory Certificate Services could not connect to the global catalog server.  {RequesterName}  {ErrorCode},{RequesterName} | {ErrorCode}
3260809244,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,An invalid OID has been detected in the EKUOIDsForVolatileRequests configuration setting. To resolve; run: 'certutil -getreg policy\EKUOIDsForVolatileRequests' to identify the invalid OID and correct it.,
