Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,CredProvHost has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Pro,2016/03/08,10586.164,CredProvHost has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Pro,1970/01/01,10586.0,CredProvHost has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1507,Pro,2015/07/29,10240,CredProvHost has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
2,0,Information,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
2,0,Information,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
2,0,Information,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
2,0,Information,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1507,Pro,2015/07/29,10240,,
3,0,Information,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
3,0,Information,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
3,0,Information,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
3,0,Information,Microsoft-Windows-CredProvHost/Debug,,,,Windows 10,1507,Pro,2015/07/29,10240,,
