Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
2000,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Started manifest download from {From} to {To}.,{From} | {To}
2001,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Finished manifest download from {From} to {To}.,{From} | {To}
2002,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Started parsing manifest at {Path}.,{Path}
2003,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Finished parsing manifest at {Path}.,{Path}
2004,0,win:Warning,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Finished parsing manifest at {Path} with {Error} non-fatal errors.,{Path} | {Error}
2010,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Conditional evaluation Type={Type}; Left={LeftValue}; Left (evaluated)={EvalValue}; Right={RightValue}; Op={Operator}; Result={Result}; ExecuteAs={ExecuteAs}.,{Type} | {LeftValue} | {EvalValue} | {RightValue} | {Operator} | {Result} | {ExecuteAs}
2020,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Widget {WidgetID} parsed with action {WidgetAction}.,{WidgetID} | {WidgetAction}
2030,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Started tool download for widget {Widget}; from {From} to {To}.,{Widget} | {From} | {To}
2031,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Finished tool download for widget {Widget}; from {From} to {To}.,{Widget} | {From} | {To}
2032,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Group policy was configured to skip tool download.,
2040,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Tool signature check succeeded for widget {Widget} at {Path},{Widget} | {Path}
2050,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Substituting user arguments for widget {WidgetID} succeeded; old string is {From}; new string is {To}.,{WidgetID} | {From} | {To}
2051,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,User responded to widget {WidgetID}; variable {From}; response {To}.,{WidgetID} | {From} | {To}
2060,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Started data upload from {From} to {To}.,{From} | {To}
2061,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Finished data upload from {From} to {To}.,{From} | {To}
2070,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Completed manifest upload notification to {Path}.,{Path}
2080,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Completed upload file copy from {From} to {To}.,{From} | {To}
2081,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Completed remote executable copy from {From} to {To}.,{From} | {To}
2090,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,The user chose to manually cancel data collection.,
2100,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Widget {Widget} with action {Action} has entered {Status} state.,{Widget} | {Action} | {Status}
2120,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Remote package succesfully created at {Path}.,{Path}
2130,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Started tool (widget {WidgetID}); path '{CommandLine}'; parameters '{CommandParam}'; context {ExecuteAs}.,{WidgetID} | {CommandLine} | {CommandParam} | {ExecuteAs}
2131,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Finished tool (widget {WidgetID}); path '{CommandLine}'; parameters '{CommandParam}'; context {ExecuteAs}; return code {Error}.,{WidgetID} | {CommandLine} | {CommandParam} | {ExecuteAs} | {Error}
2144,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) started successfully.,{Collector} | {WidgetID}
2145,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) began compiling.,{Collector} | {WidgetID}
2146,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) stopped successfully.,{Collector} | {WidgetID}
2147,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector {Collector} (widget {WidgetID}) finished successfully.,{Collector} | {WidgetID}
2148,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) in context {ExecuteAs} succeeded.,{Collector} | {WidgetID} | {ExecuteAs}
2150,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} in context {ExecuteAs} added for non-PLA type widgets.,{Collector} | {ExecuteAs}
2151,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} in context {ExecuteAs} added for PLA widget {WidgetID}.,{Collector} | {ExecuteAs} | {WidgetID}
2152,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) in context {ExecuteAs} enqueued to be stopped.,{Collector} | {WidgetID} | {ExecuteAs}
2153,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data Collector {Collector} added for non-limited non-PLA type widgets.,{Collector}
2154,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data Collector {Collector} added for limited non-PLA type widgets.,{Collector}
2155,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Widget {WidgetID} added to data collector {Collector}.,{WidgetID} | {Collector}
2157,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Operational,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Widget {WidgetID} in data collector set {Collector} finished successfully.,{WidgetID} | {Collector}
2158,0,win:Informational,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Query {Collector} added for Widget {WidgetID}.,{Collector} | {WidgetID}
2170,0,win:Error,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) was terminated before DCS start.,{Collector} | {WidgetID}
2171,0,win:Error,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) was terminated during DCS compiling.,{Collector} | {WidgetID}
2172,0,win:Error,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) was terminated at DCS compiling.,{Collector} | {WidgetID}
2173,0,win:Error,Microsoft-Windows-Diagnosis-MSDT/Debug,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Data collector set {Collector} (widget {WidgetID}) was terminated while waiting for stop.,{Collector} | {WidgetID}
