Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/08/16,22000.856,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H2,Pro,2022/07/19,19044.1826,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 11,21H1,Pro,2022/07/19,19043.1826,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/05/11,19041.985,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/04/13,19041.928,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/03/09,19041.867,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/02/09,19041.804,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/01/12,19041.746,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/12/08,19041.685,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/11/10,19041.63,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/10/13,19041.572,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/09/08,19041.508,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/08/11,19041.45,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/07/14,19041.388,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/06/09,19041.329,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/05/27,19041.264,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2020/04/16,19041.208,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/11/09,19041.1348,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/07/13,19041.111,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2020/07/14,18363.959,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2020/06/09,18363.9,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2020/05/12,18363.836,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2020/04/14,18363.778,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2020/03/12,18363.72,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2020/02/11,18363.657,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2020/01/14,18363.592,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2019/12/10,18363.535,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2019/10/05,18363.418,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2021/06/08,18363.1621,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2021/05/11,18363.1556,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2021/04/13,18363.15,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2021/03/09,18363.144,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2021/02/11,18363.1379,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2021/01/12,18363.1316,Display color calibration started for device {Device}.,{Device}
1,0,Information,Microsoft-Windows-DisplayColorCalibration/Operational,Display Color Calibration,,,Windows 10,1909,Pro,2020/12/08,18363.1256,Display color calibration started for device {Device}.,{Device}
