Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-FileManagerApp/Operational,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Error message: {String},{String}
2,0,Warning,Microsoft-Windows-FileManagerApp/Operational,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Warning message: {String},{String}
3,0,Information,Microsoft-Windows-FileManagerApp/Operational,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Information message: {String},{String}
4,0,Information,,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Information message: {String},{String}
5,0,Warning,,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Warning message: {String},{String}
6,0,Error,,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Error message: {String},{String}
7,0,Error,,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Unhandled exception: HRESULT={Prop_HRESULT}; Message={Prop_Message},{Prop_HRESULT} | {Prop_Message}
8,0,Warning,,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,backtrace from {MethodName}; trace: {Backtrace},{MethodName} | {Backtrace}
9,0,Warning,,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Error opening directory {LogPath}; error: {ErrorCode},{LogPath} | {ErrorCode}
10,0,Warning,,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Error getting compression for directory {LogPath}; error: {ErrorCode},{LogPath} | {ErrorCode}
11,0,Warning,,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Error setting compression on directory {LogPath}; error: {ErrorCode},{LogPath} | {ErrorCode}
100,0,Information,,SkyDriveTabNavigate,,Navigation,Windows 8.1,8.1,Pro,1970/01/01,9600,,
101,0,Information,,SkyDriveSignOutPageLoaded,,Authentication,Windows 8.1,8.1,Pro,1970/01/01,9600,,
103,0,Information,,PickerNavigationSelection,Start,Navigation,Windows 8.1,8.1,Pro,1970/01/01,9600,,
104,0,Information,,PickerNavigationSelection,Stop,Navigation,Windows 8.1,8.1,Pro,1970/01/01,9600,,
105,0,Information,,GoBackEvent,,Navigation,Windows 8.1,8.1,Pro,1970/01/01,9600,,
106,0,Information,,ViewModelOnLoaded,,Startup,Windows 8.1,8.1,Pro,1970/01/01,9600,,
107,0,Information,,FirstPage,,Startup,Windows 8.1,8.1,Pro,1970/01/01,9600,,
108,0,Information,,ViewComplete,,Startup,Windows 8.1,8.1,Pro,1970/01/01,9600,,
109,0,Information,,OpenPickerLaunch,,Startup,Windows 8.1,8.1,Pro,1970/01/01,9600,,
110,0,Information,,SavePickerLaunch,,Startup,Windows 8.1,8.1,Pro,1970/01/01,9600,,
111,0,Information,,AppLaunch,,Startup,Windows 8.1,8.1,Pro,1970/01/01,9600,,
112,0,Information,,AppResume,,Startup,Windows 8.1,8.1,Pro,1970/01/01,9600,,
113,0,Information,,LocalTabNavigate,,Navigation,Windows 8.1,8.1,Pro,1970/01/01,9600,,
114,0,Information,,FolderNavigate,,Navigation,Windows 8.1,8.1,Pro,1970/01/01,9600,Navigating into path: {String},{String}
115,0,Information,,ViewModeChange,,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
116,0,Information,,CreateFolder,Start,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
117,0,Information,,CreateFolder,Stop,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
118,0,Information,,Add,Start,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
119,0,Information,,Add,,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
120,0,Information,,Add,Stop,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
121,0,Information,,Delete,Start,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
122,0,Information,,Delete,,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
123,0,Information,,Delete,Stop,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
124,0,Information,,Rename,Start,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
125,0,Information,,Rename,Stop,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
126,0,Information,,OpenWith,Start,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
127,0,Information,,OpenWith,Stop,Actions,Windows 8.1,8.1,Pro,1970/01/01,9600,,
128,0,Information,,OfflineButton,,Offline,Windows 8.1,8.1,Pro,1970/01/01,9600,,
129,0,Information,,OfflineFlyoutLoaded,,Offline,Windows 8.1,8.1,Pro,1970/01/01,9600,,
130,0,Information,,OfflineCommit,,Offline,Windows 8.1,8.1,Pro,1970/01/01,9600,,
131,0,Information,,OfflineProgress,,Offline,Windows 8.1,8.1,Pro,1970/01/01,9600,,
133,0,Information,,OfflineUIRender,,Offline,Windows 8.1,8.1,Pro,1970/01/01,9600,,
134,0,Information,,DeviceOfflineUIRender,,Offline,Windows 8.1,8.1,Pro,1970/01/01,9600,,
