Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-FileManagerDataModel/Operational,LogTask,,Default,Windows 8.1,8.1,Pro,1970/01/01,9600,Error message: {UnicodeString},{UnicodeString}
100,0,Information,,Authentication,Stop,Authentication,Windows 8.1,8.1,Pro,1970/01/01,9600,RegisterEventHandlers threw {HresultValue}. If E_ACCESSDENIED; a Guest account could be a readon of this failure.,{HresultValue}
1000,0,Information,,LocalOperationsDataSource,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
1001,0,Information,,LocalOperationsDataSource,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
1002,0,Information,,LocalOperationsDataSource,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
1003,0,Information,,LocalOperationsDataSource,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
1004,0,Information,,LocalOperationsDataSource,,,Windows 8.1,8.1,Pro,1970/01/01,9600,Terminating operation [{Guid}],{Guid}
1005,0,Information,,LocalOperationsDataSource,,,Windows 8.1,8.1,Pro,1970/01/01,9600,Operations are destroyed on {Boolean},{Boolean}
1006,0,Information,,LocalOperationsDataSource,,,Windows 8.1,8.1,Pro,1970/01/01,9600,New polling rate: {Integer} milliseconds,{Integer}
1007,0,Information,,LocalOperationsDataSource,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
1008,0,Information,,LocalOperationsDataSource,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
1009,0,Information,,LocalOperationsDataSource,,,Windows 8.1,8.1,Pro,1970/01/01,9600,Processing {Integer} operations,{Integer}
101,0,Information,,OfflineSyncEngineNotification,,Offline,Windows 8.1,8.1,Pro,1970/01/01,9600,,
1010,0,Information,,LocalOperationsDataSource,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,{Integer} operations were processed,{Integer}
102,0,Information,,Authentication,Start,Authentication,Windows 8.1,8.1,Pro,1970/01/01,9600,,
103,0,Information,,Authentication,Start,Authentication,Windows 8.1,8.1,Pro,1970/01/01,9600,,
104,0,Information,,Authentication,Stop,Authentication,Windows 8.1,8.1,Pro,1970/01/01,9600,Status while getting the user identity: {HresultValue},{HresultValue}
105,0,Information,,RemoteOperations,Start,RemoteOperations,Windows 8.1,8.1,Pro,1970/01/01,9600,,
106,0,Information,,RemoteOperations,Stop,RemoteOperations,Windows 8.1,8.1,Pro,1970/01/01,9600,,
107,0,Information,,RemoteOperations,Start,RemoteOperations,Windows 8.1,8.1,Pro,1970/01/01,9600,,
108,0,Information,,RemoteOperations,Stop,RemoteOperations,Windows 8.1,8.1,Pro,1970/01/01,9600,,
109,0,Information,,RemoteOperations,Start,RemoteOperations,Windows 8.1,8.1,Pro,1970/01/01,9600,,
110,0,Information,,RemoteOperations,Stop,RemoteOperations,Windows 8.1,8.1,Pro,1970/01/01,9600,,
