Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
235,0,Information,,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
235,0,Information,,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
235,0,Information,,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
235,0,Information,,,,,Windows 10,1507,Pro,2015/07/29,10240,,
235,0,Information,,,,,Windows 8,8,Pro,1970/01/01,9200,,
235,0,Information,,,,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
236,0,Information,,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
236,0,Information,,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
236,0,Information,,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
236,0,Information,,,,,Windows 10,1507,Pro,2015/07/29,10240,,
236,0,Information,,,,,Windows 8,8,Pro,1970/01/01,9200,,
236,0,Information,,,,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
237,0,Information,,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
237,0,Information,,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
237,0,Information,,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
237,0,Information,,,,,Windows 10,1507,Pro,2015/07/29,10240,,
237,0,Information,,,,,Windows 8,8,Pro,1970/01/01,9200,,
237,0,Information,,,,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
238,0,Information,,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
238,0,Information,,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
238,0,Information,,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
238,0,Information,,,,,Windows 10,1507,Pro,2015/07/29,10240,,
238,0,Information,,,,,Windows 8,8,Pro,1970/01/01,9200,,
238,0,Information,,,,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
272,0,Information,,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
272,0,Information,,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
272,0,Information,,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
272,0,Information,,,,,Windows 10,1507,Pro,2015/07/29,10240,,
272,0,Information,,,,,Windows 8,8,Pro,1970/01/01,9200,,
272,0,Information,,,,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
273,0,Information,,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
273,0,Information,,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
273,0,Information,,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
273,0,Information,,,,,Windows 10,1507,Pro,2015/07/29,10240,,
273,0,Information,,,,,Windows 8,8,Pro,1970/01/01,9200,,
273,0,Information,,,,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
274,0,Information,,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,,
274,0,Information,,,,,Windows 10,1511,Pro,2016/03/08,10586.164,,
274,0,Information,,,,,Windows 10,1511,Pro,1970/01/01,10586.0,,
274,0,Information,,,,,Windows 10,1507,Pro,2015/07/29,10240,,
274,0,Information,,,,,Windows 8,8,Pro,1970/01/01,9200,,
274,0,Information,,,,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
