Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10,0,Error,,,,DUMMY,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsLookupRealAllocation: Vcn {A10_Vcn}!I64x!; LowestVcn {A11_Attribute->Form.Nonresident.LowestVcn}!I64x!; HighestVcn {A12_Attribute->Form.Nonresident.HighestVcn}!I64x!; AllocationClusters {A13_AllocationClusters}!I64x!,{A10_Vcn} | {A13_AllocationClusters}
11,0,Information,,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsAllocateAttribute MaxAlloc for Mft's AttrList IC:{A10_IrpContext}!p!; Scb:{A11_Scb}!p!,{A10_IrpContext} | {A11_Scb}
12,0,Information,,,,ALLOC_FREE_CLUS,Windows 11,21H2,Pro,2022/06/21,22000.739,FileObject: {A10_FileObject}!p!; Scb: {A11_Scb}!p!; StaringVcn: {A12_StartingVcn}!I64x!; ClusterCount: {A13_ClusterCount}!I64x!; Flags: {A14_Flags}!08x!; CcbForWriteExtend: {A15_CcbForWriteExtend}!p!,{A10_FileObject} | {A11_Scb} | {A12_StartingVcn} | {A13_ClusterCount} | {A14_Flags} | {A15_CcbForWriteExtend}
13,0,Information,,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsAddAllocation IC:{A10_IrpContext}!p!; FileObject:{A11_FileObject}!p!; Scb:{A12_Scb}!p!; StaringVcn:{A13_StartingVcn}!I64x!; ClusterCount:{A14_ClusterCount}!I64x!; Flags:{A15_Flags}!08x!; CcbForWriteExtend:{A16_CcbForWriteExtend}!p!,{A10_IrpContext} | {A11_FileObject} | {A12_Scb} | {A13_StartingVcn} | {A14_ClusterCount} | {A15_Flags} | {A16_CcbForWriteExtend}
14,0,Error,,,,DAX,Windows 11,21H2,Pro,2022/06/21,22000.739,Purge failed: Scb: {A10_Scb}!p!; PurgeOffset: 0x{A11_PurgeOffset}!016I64x!,{A10_Scb} | {A11_PurgeOffset}
15,0,Error,,,,DAX,Windows 11,21H2,Pro,2022/06/21,22000.739,Purge failed: Scb: {A10_Scb}!p!; PurgeOffset: 0x{A11_PurgeOffset}!016I64x!; PurgeChunkLength: 0x{A12_PurgeChunkLength}!x!,{A10_Scb} | {A11_PurgeOffset} | {A12_PurgeChunkLength}
16,0,Information,,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsGetLastVcnForNewMappingPairSize IC:{A10_IrpContext}!p!; Using LastVcn:{A11_*LastVcn}!4I64x!; InstanceId:{A12_Attribute->Instance}!x!,{A10_IrpContext}
17,0,Error,,,,DUMMY,Windows 11,21H2,Pro,2022/06/21,22000.739,Can't find StdInfo in FileRef {A10_NtfsFullFileRefNumber( _Fcb->FileReference )}!I64x!,
18,0,Error,,,,DUMMY,Windows 11,21H2,Pro,2022/06/21,22000.739,Can't find StdInfo in FileRef {A10_NtfsFullFileRefNumber( _Fcb->FileReference )}!I64x!,
19,0,Information,,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsCreateNonresidentWithValue Create Mft's NonResident Attribute List IC:{A10_IrpContext}!p!ValueLength:{A11_ValueLength}!x!; AttrFlags={A12_AttributeFlags}!x!,{A10_IrpContext} | {A11_ValueLength} | {A12_AttributeFlags}
20,0,Information,,,,FRSCONSOLIDATION,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsAddAttributeAllocation({A10_Vcb}!p!;{A11_IrpContext}!p!): Scb {A12_Scb}!p!; FileRef {A13_*(PULONGLONG)_Scb->Fcb->FileReference}!I64x!; LastVcn {A14_LastVcn}!I64x!; NewHighestVcn {A15_NewHighestVcn}!I64x!; PassCount {A16_PassCount}!x! - step 6,{A10_Vcb} | {A11_IrpContext} | {A12_Scb} | {A14_LastVcn} | {A15_NewHighestVcn} | {A16_PassCount}
21,0,Information,,,,FRSCONSOLIDATION,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsAddAttributeAllocation({A10_Vcb}!p!;{A11_IrpContext}!p!): Scb {A12_Scb}!p!; FileRef {A13_*(PULONGLONG)_Scb->Fcb->FileReference}!I64x!; LowestVcn {A14_Context->FoundAttribute.Attribute->Form.Nonresident.LowestVcn}!I64x!; HighestVcn {A15_Context->FoundAttribute.Attribute->Form.Nonresident.HighestVcn}!I64x!; ALE.LowestVcn {A16_Context->AttributeList.Entry->LowestVcn}!I64x! - try to merge backward,{A10_Vcb} | {A11_IrpContext} | {A12_Scb}
22,0,Information,,,,FRSCONSOLIDATION,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsAddAttributeAllocation({A10_Vcb}!p!;{A11_IrpContext}!p!): Scb {A12_Scb}!p!; FileRef {A13_*(PULONGLONG)_Scb->Fcb->FileReference}!I64x!; LowestVcn {A14_Context->FoundAttribute.Attribute->Form.Nonresident.LowestVcn}!I64x!; HighestVcn {A15_Context->FoundAttribute.Attribute->Form.Nonresident.HighestVcn}!I64x!; ALE.LowestVcn {A16_Context->AttributeList.Entry->LowestVcn}!I64x! - after merge backward,{A10_Vcb} | {A11_IrpContext} | {A12_Scb}
23,0,Information,,,,FRSCONSOLIDATION,Windows 11,21H2,Pro,2022/06/21,22000.739,NtfsAddAttributeAllocation({A10_Vcb}!p!;{A11_IrpContext}!p!): Scb {A12_Scb}!p!; FileRef {A13_*(PULONGLONG)_Scb->Fcb->FileReference}!I64x!; LowestVcn {A14_Context->FoundAttribute.Attribute->Form.Nonresident.LowestVcn}!I64x!; HighestVcn {A15_Context->FoundAttribute.Attribute->Form.Nonresident.HighestVcn}!I64x!; ALE.LowestVcn {A16_Context->AttributeList.Entry->LowestVcn}!I64x!; PassCount {A17_PassCount}!x! - before last merge after step 6,{A10_Vcb} | {A11_IrpContext} | {A12_Scb} | {A17_PassCount}
