Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
106,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/07/11,15063.483,Dispatching an IOCTL.,
106,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/06/13,15063.413,Dispatching an IOCTL.,
106,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/03/20,15063.0,Dispatching an IOCTL.,
107,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/07/11,15063.483,Completing a non-read/write request.,
107,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/06/13,15063.413,Completing a non-read/write request.,
107,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/03/20,15063.0,Completing a non-read/write request.,
108,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/07/11,15063.483,Dispatching a PnP request.,
108,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/06/13,15063.413,Dispatching a PnP request.,
108,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/03/20,15063.0,Dispatching a PnP request.,
109,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/07/11,15063.483,Completing a PnP request.,
109,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/06/13,15063.413,Completing a PnP request.,
109,0,Information,Microsoft-Windows-NvdimmN/Diagnostic,,,,Windows 10,1703,Pro,2017/03/20,15063.0,Completing a PnP request.,
201,0,Critical,Microsoft-Windows-NvdimmN/Operational,,,,Windows 10,1703,Pro,2017/07/11,15063.483,NVDIMM-N {DeviceGuid} failed to start. {Reason}                                        This NVDIMM-N may be located using the following information:                                        Slot number: {SlotNumber}                    Manufacturer: {VendorId}                    Model Number: {ProductId}                    Serial Number: {SerialNumber},{DeviceGuid} | {Reason} | {SlotNumber} | {VendorId} | {ProductId} | {SerialNumber}
201,0,Critical,Microsoft-Windows-NvdimmN/Operational,,,,Windows 10,1703,Pro,2017/06/13,15063.413,NVDIMM-N {DeviceGuid} failed to start. {Reason}                                        This NVDIMM-N may be located using the following information:                                        Slot number: {SlotNumber}                    Manufacturer: {VendorId}                    Model Number: {ProductId}                    Serial Number: {SerialNumber},{DeviceGuid} | {Reason} | {SlotNumber} | {VendorId} | {ProductId} | {SerialNumber}
201,0,Critical,Microsoft-Windows-NvdimmN/Operational,,,,Windows 10,1703,Pro,2017/03/20,15063.0,NVDIMM-N {DeviceGuid} failed to start. {Reason}                                        This NVDIMM-N may be located using the following information:                                        Slot number: {SlotNumber}                    Manufacturer: {VendorId}                    Model Number: {ProductId}                    Serial Number: {SerialNumber},{DeviceGuid} | {Reason} | {SlotNumber} | {VendorId} | {ProductId} | {SerialNumber}
202,0,Information,Microsoft-Windows-NvdimmN/Operational,,,,Windows 10,1703,Pro,2017/07/11,15063.483,NVDIMM-N {DeviceGuid} started successfully.,{DeviceGuid}
