Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,,
1,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,,
1073742830,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Domain Cache sweep interval set to {param1},{param1}
1073742830,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Domain Cache sweep interval set to {param1},{param1}
1073742832,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,,
1073742832,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,,
1073742833,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Synthesized POSIX offset for SID {param1}; computer {param2}. For more information about the compatibility of this operation with your configuration; see Knowledge Base article Q306552.,{param1} | {param2}
1073742833,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Synthesized POSIX offset for SID {param1}; computer {param2}. For more information about the compatibility of this operation with your configuration; see Knowledge Base article Q306552.,{param1} | {param2}
1073742836,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Connected to Mapping Server at host {param1} ({param2}),{param1} | {param2}
1073742836,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Connected to Mapping Server at host {param1} ({param2}),{param1} | {param2}
1073742844,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,,
1073742844,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,,
3221226474,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Subsystem for UNIX-based Applications status: {param1},{param1}
3221226474,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Subsystem for UNIX-based Applications status: {param1},{param1}
3221226475,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Unusable PsxOffset {param1} from domain SID {param2} with domain name {param3}. See Knowledge Base article Q306552 for more information.,{param1} | {param2} | {param3}
3221226475,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Unusable PsxOffset {param1} from domain SID {param2} with domain name {param3}. See Knowledge Base article Q306552 for more information.,{param1} | {param2} | {param3}
3221226476,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,PSXSS has encountered a user or group ID with a value that requires careful POSIX offset management.  See Knowledge Base article Q306552 for more information. The internal UID is 0x{param1}{param2}.,{param1} | {param2}
3221226476,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,PSXSS has encountered a user or group ID with a value that requires careful POSIX offset management.  See Knowledge Base article Q306552 for more information. The internal UID is 0x{param1}{param2}.,{param1} | {param2}
3221226477,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,PSXSS has encountered a user or group ID with a value too large to convert to a uid_t; and converted it to a reserved UID value. See Knowledge Base article Q306552 for more information. The internal UID is 0x{param1}{param2}.,{param1} | {param2}
3221226477,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,PSXSS has encountered a user or group ID with a value too large to convert to a uid_t; and converted it to a reserved UID value. See Knowledge Base article Q306552 for more information. The internal UID is 0x{param1}{param2}.,{param1} | {param2}
3221226482,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,,
3221226482,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,,
3221226483,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The status value {param1} was converted to EACCES.  While this is an informational message only; your system administrator should be informed that this event occurred.,{param1}
3221226483,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,The status value {param1} was converted to EACCES.  While this is an informational message only; your system administrator should be informed that this event occurred.,{param1}
3221226485,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Could not connect to Mapping Server at host {param1}:while connecting {param2},{param1} | {param2}
3221226485,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Could not connect to Mapping Server at host {param1}:while connecting {param2},{param1} | {param2}
3221226486,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Could not open registry key {param1}: NtStatus {param2},{param1} | {param2}
3221226486,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Could not open registry key {param1}: NtStatus {param2},{param1} | {param2}
3221226487,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Internal Error: TLS Client not as expected at {param1} line {param2},{param1} | {param2}
3221226487,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Internal Error: TLS Client not as expected at {param1} line {param2},{param1} | {param2}
3221226488,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Unexpected Exception pid={param1} cid={param2}.{param3} code={param4} fc={param5},{param1} | {param2} | {param3} | {param4} | {param5}
3221226488,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Unexpected Exception pid={param1} cid={param2}.{param3} code={param4} fc={param5},{param1} | {param2} | {param3} | {param4} | {param5}
3221226489,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The POSIX offset for domain {param1} is {param2}; which is invalid.  The domain will be ignored and inaccessible. See Knowledge Base article Q306552 for more information.,{param1} | {param2}
3221226489,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,The POSIX offset for domain {param1} is {param2}; which is invalid.  The domain will be ignored and inaccessible. See Knowledge Base article Q306552 for more information.,{param1} | {param2}
3221226490,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Subsystem for UNIX-based Applications is unable to load a DLL; pid={param1} cid={param2}.{param3} code={param4} fc={param5},{param1} | {param2} | {param3} | {param4} | {param5}
3221226490,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Subsystem for UNIX-based Applications is unable to load a DLL; pid={param1} cid={param2}.{param3} code={param4} fc={param5},{param1} | {param2} | {param3} | {param4} | {param5}
3221226491,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Subsystem for UNIX-based Applications detected a hard error. The exception vector contains: {param1},{param1}
3221226491,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Subsystem for UNIX-based Applications detected a hard error. The exception vector contains: {param1},{param1}
3221226493,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Connection to port {param1} failed; Subsystem for UNIX-based Applications terminated during startup.,{param1}
3221226493,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Connection to port {param1} failed; Subsystem for UNIX-based Applications terminated during startup.,{param1}
3221226494,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,,
3221226494,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,,
3221226495,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Could not connect to Mapping Server at host  {param1}:while connecting: Hostname Resolution failed.,{param1}
3221226495,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Could not connect to Mapping Server at host  {param1}:while connecting: Hostname Resolution failed.,{param1}
3221226496,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,A fatal condition has occurred during subsystem startup. The condition is {param1} and the status code is {param2},{param1} | {param2}
