Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
129,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,Essentials configuration wizard called PowerShell: {CmdletName},{CmdletName}
129,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,Essentials configuration wizard called PowerShell: {CmdletName},{CmdletName}
129,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,Essentials configuration wizard called PowerShell: {CmdletName},{CmdletName}
130,0,Error,Deploy,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,Unexpected error occured: {Message},{Message}
130,0,Error,Deploy,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,Unexpected error occured: {Message},{Message}
130,0,Error,Deploy,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,Unexpected error occured: {Message},{Message}
131,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,Essentials configuration wizard entered page: {PageName},{PageName}
131,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,Essentials configuration wizard entered page: {PageName},{PageName}
131,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,Essentials configuration wizard entered page: {PageName},{PageName}
132,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,Essentials configuration wizard left page: {PageName},{PageName}
132,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,Essentials configuration wizard left page: {PageName},{PageName}
132,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,Essentials configuration wizard left page: {PageName},{PageName}
133,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,Essentials configuration wizard is canceled: {PageName}; and cancel type is: {Cancel},{PageName} | {Cancel}
133,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,Essentials configuration wizard is canceled: {PageName}; and cancel type is: {Cancel},{PageName} | {Cancel}
133,0,Information,Deploy,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,Essentials configuration wizard is canceled: {PageName}; and cancel type is: {Cancel},{PageName} | {Cancel}
134,0,Warning,Deploy,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,Essentials configuration wizard fails to connect remotely; and it might because remote server is restarting. More information: {Message},{Message}
134,0,Warning,Deploy,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,Essentials configuration wizard fails to connect remotely; and it might because remote server is restarting. More information: {Message},{Message}
134,0,Warning,Deploy,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,Essentials configuration wizard fails to connect remotely; and it might because remote server is restarting. More information: {Message},{Message}
