Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 7,SP1,Ultimate,1970/01/01,7601.0,Opening Sticky Notes Storage,
1,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 8,8,Pro,1970/01/01,9200.0,Opening Sticky Notes Storage,
1,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 8.1,8.1,Pro,1970/01/01,9600.0,Opening Sticky Notes Storage,
1,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 10,1507,Pro,2015/07/29,10240.0,Opening Sticky Notes Storage,
1,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 10,1511,Pro,1970/01/01,10586.0,Opening Sticky Notes Storage,
1,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 10,1511,Enterprise,2016/02/09,10586.104,Opening Sticky Notes Storage,
1,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 10,1511,Pro,2016/03/08,10586.164,Opening Sticky Notes Storage,
2,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 7,SP1,Ultimate,1970/01/01,7601.0,Creating Sticky Notes Storage,
2,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 8,8,Pro,1970/01/01,9200.0,Creating Sticky Notes Storage,
2,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 8.1,8.1,Pro,1970/01/01,9600.0,Creating Sticky Notes Storage,
2,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 10,1507,Pro,2015/07/29,10240.0,Creating Sticky Notes Storage,
2,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 10,1511,Pro,1970/01/01,10586.0,Creating Sticky Notes Storage,
2,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 10,1511,Enterprise,2016/02/09,10586.104,Creating Sticky Notes Storage,
2,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 10,1511,Pro,2016/03/08,10586.164,Creating Sticky Notes Storage,
3,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 7,SP1,Ultimate,1970/01/01,7601.0,Opening Meta File Storage,
3,0,Information,Microsoft-Windows-StickyNotes/Debug,,,StickyNotes,Windows 8,8,Pro,1970/01/01,9200.0,Opening Meta File Storage,
