Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,{param1},{param1}
0,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,{param1},{param1}
1000,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Telnet Service was started successfully.,
1000,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Telnet Service was started successfully.,
1001,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Telnet Service was stopped successfully.,
1001,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Telnet Service was stopped successfully.,
3221229472,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,An error occurred while attempting to create shell process.,
3221229472,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,An error occurred while attempting to create shell process.,
3221229473,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The API CreateIoCompletionPort failed with error {param1},{param1}
3221229473,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,The API CreateIoCompletionPort failed with error {param1},{param1}
3221229474,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The audit log file is full and no more logs will be written to the file. Log file name: {param1},{param1}
3221229474,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,The audit log file is full and no more logs will be written to the file. Log file name: {param1},{param1}
3221229475,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The API GetQueuedCompletionStatus failed with error {param1},{param1}
3221229475,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,The API GetQueuedCompletionStatus failed with error {param1},{param1}
3221229476,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Telnet Service failed to initialize.,
3221229476,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Telnet Service failed to initialize.,
3221229477,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Telnet Service failed to register for registry change notifications.,
3221229477,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Telnet Service failed to register for registry change notifications.,
3221229478,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The specified audit log file could not be opened. Log file name: {param1},{param1}
3221229478,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,The specified audit log file could not be opened. Log file name: {param1},{param1}
3221229479,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,Telnet Service License has expired.,
3221229479,0,,,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Telnet Service License has expired.,
3221229480,0,,,,,,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,This error is returned by WSAStartup function if the Windows Sockets implementation cannot function at this time because the underlying system it uses to provide network services is currently unavailable. Users should check the following. Ensure that the appropriate Windows Sockets DLL file is in the current path. Ensure that they are not trying to use more than one Windows Sockets implementation simultaneously. If there is more than one WINSOCK DLL on your system; be sure the first one in the path is appropriate for the network subsystem currently loaded. Check Windows Sockets implementation documentation to be sure all necessary components are currently installed and configured correctly.,
