Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Critical,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:TSGateway,aag:Initialize,aag:Admin aag:Alert,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The RD Gateway service could not be initialized. The following error occurred: '{errorcode}'. To diagnose possible causes for this problem; verify whether the following services are installed and started: (1) World Wide Web Publishing Service (2) Internet Authentication Service (IAS) (3) RPC/HTTP Load Balancing Service. Also; check Event Viewer for Network Policy Server (NPS) and IIS events that might indicate problems with NPS or IIS.,{errorcode}
101,0,Information,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:TSGateway,aag:StartUp,aag:Admin,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,,
102,0,Critical,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:TSGateway,aag:Initialize,aag:Admin aag:Alert,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The Remote Desktop Gateway service requires a valid Secure Sockets Layer (SSL) certificate to accept connections. Ensure that you have obtained a valid SSL certificate; and then bind (map) the certificate by using RD Gateway Manager. For more information; see 'Obtain a certificate for the RD Gateway server' in the RD Gateway Help. The following error occurred: '{errorcode}',{errorcode}
103,0,Critical,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:TSGateway,aag:Initialize,aag:Admin aag:Alert,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The Remote Desktop Gateway service does not have sufficient permissions to access the Secure Sockets Layer (SSL) certificate that is required to accept connections. To resolve this issue; bind (map) a valid SSL certificate by using RD Gateway Manager. For more information; see 'Obtain a certificate for the RD Gateway server' in the RD Gateway Help. The following error occurred: '{errorcode}'.,{errorcode}
200,0,Information,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:Transport,aag:Connect,aag:Admin,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The user '{username}'; on client computer '{ipaddress}'; met connection authorization policy requirements and was therefore authorized to access the RD Gateway server. The following authentication method was used: '{authtype}'.,{username} | {ipaddress} | {authtype}
201,0,Error,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:Transport,aag:Connect,aag:Admin,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The user '{username}'; on client computer '{ipaddress}'; did not meet connection authorization policy requirements and was therefore not authorized to access the RD Gateway server. The following authentication method was attempted: '{authtype}'. The following error occurred: '{errorcode}'.,{username} | {ipaddress} | {authtype} | {errorcode}
202,0,Information,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:Adapter,aag:DisconnectTunnel,aag:Admin,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The administrator disconnected the user '{username}'; on client computer '{ipaddress}'; from the following network resource: '{resource}'. Before the user was disconnected; the client transferred {bytesTransfered} bytes and received {bytesReceived} bytes. The client session duration was {sessionDuration} seconds.,{username} | {ipaddress} | {resource} | {bytesTransfered} | {bytesReceived} | {sessionDuration}
203,0,Warning,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:Adapter,aag:Connect,aag:Admin,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The number of simultaneous connections to the RD Gateway server has reached the maximum number that was configured by the administrator. The server is therefore not accepting any new connections. The connection attempt by user '{username}' on client computer '{ipaddress}'; using the authentication method '{authtype}' has been denied. For information about how to modify the maximum connection limit; see the 'Specify the Maximum Number of Allowable Connections for RD Gateway' topic in the RD Gateway Help.,{username} | {ipaddress} | {authtype}
204,0,Error,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:Transport,aag:Connect,aag:Admin,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The user '{username}'; on client computer '{ipaddress}'; did not meet the requirements of the Network Access Protection (NAP) policies defined in the Network Policy Server. Therefore; the user was not authorized to connect to the RD Gateway server. The following authentication method was attempted: '{authtype}'. The following error occurred: '{errorcode}'.,{username} | {ipaddress} | {authtype} | {errorcode}
300,0,Information,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:ResourceAccessPolicy,aag:Connect,aag:Admin,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The user '{username}'; on client computer '{ipaddress}'; met resource authorization policy requirements and was therefore authorized to connect to resource '{resource}'.,{username} | {ipaddress} | {resource}
301,0,Error,Microsoft-Windows-TerminalServices-Gateway/Operational,aag:ResourceAccessPolicy,aag:Connect,aag:Admin,Windows Server 2008R2,SP1,Standard,2011/02/09,7601,The user '{username}'; on client computer '{ipaddress}'; did not meet resource authorization policy requirements and was therefore not authorized to resource '{resource}'. The following error occurred: '{errorcode}'.,{username} | {ipaddress} | {resource} | {errorcode}
