Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,Error {ErrorCode} occurred. See event details for more information.,{ErrorCode}
2,0,Warning,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,An operation did not complete as expected. See event details for more information.,
3,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,See event details for more information.,
4,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,Preparations to download units failed. See event details for more information.,
5,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A download operation was canceled.,
6,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A download all operation completed. See event details for more information.,
7,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A download operation has started. See event details for more information.,
8,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A download asset operation has started. See event details for more information.,
15,0,Warning,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A download operation has failed. See event details for more information. ,
105,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A download file has been saved. See event details for more information. ,
107,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A download asset file has been saved. See event details for more information. ,
109,0,Warning,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A process response operation  failed. See event details for more information. ,
111,0,Information,Microsoft-Windows-UserSettingsBackup-EarlyDownloader/Operational,,,,Windows 11,24H2,Pro,2024/10/2,26100.1742,A profile data web request failed. See event details for more information. ,
