Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,UuidToString Failed {A10_errCode},{A10_errCode}
11,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,,
12,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,Invalid Ndis Status Code {A10_Status},{A10_Status}
13,0,Verbose,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,VERBOSE: Looking for a parent of a child interface (self:{A10__pDimContext->selfGuid}  parent:{A11__pDimContext->parentGuid}!S!),
14,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,ERROR: Could not find parent interface for {A10__pDimContext->selfGuid},
15,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,%!FUNC!: ERROR: Could not find parent interface for {A10__pDimContext->selfGuid} - [{A11_result}!S!],{A11_result}
16,0,Information,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,query ver result={A10_result},{A10_result}
17,0,Information,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,INFO: %!FUNC! WWAN ver from MBB driver=0x{A10_version} WWAN current ver=0x{A11_WWAN_CURRENT_VERSION}!S!,{A10_version} | {A11_WWAN_CURRENT_VERSION}
18,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,ERROR: Version got (0x{A10_version}),{A10_version}
19,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,Failed in query of of OID_GEN_DRIVER_VERSION (result=0x{A10_result}). Ignored for now,{A10_result}
20,0,Information,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,Suceeded in query of OID_GEN_DRIVER_VERSION (NDIS version 0x{A10_pDimContext->ndisVersion}),
21,0,Warning,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,NONNULL NAME {A10_pDimContext->name},
22,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,DimStartNotifications Failed {A10_result},{A10_result}
23,0,Warning,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,DimGetMbimVersion failed with error {A10_result}. Treating as a soft failure,{A10_result}
24,0,Information,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,Name {A10_pDimContext->name} result {A11_result}!S!,{A11_result}
25,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,%!FUNC!: ERROR: Could not find parent interface for {A10__pDimContext->selfGuid} - [{A11_result}!S!],{A11_result}
26,0,Error,,,,WWAN_TRACE_FLAG_DIM,Windows 11,24H2,Pro,2024/10/2,26100.1742,%!FUNC!: ERROR: OID_MBIM_VERSION Not Supported for {A10__pDimContext->selfGuid} - [{A11_result}!S!],{A11_result}
