Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Information,WordChannel,tskPageLayout,StartPage,Layout,,,,,,,
1,0,Information,WordChannel,tskPageLayout,StopPage,Layout,,,,,,,
2,1,Information,WordChannel,tskPageLayout,StartMathBrkSession,Layout,,,,,,,
3,0,Information,WordChannel,tskPageLayout,StopMathBrkSession,Layout,,,,,,,
4,1,Information,WordChannel,tskPageLayout,StartTableAutofit,Layout,,,,,,,
5,0,Information,WordChannel,tskPageLayout,StopTableAutofit,Layout,,,,,,,
6,2,Verbose,WordChannel,tskLineLayout,StartLineLayout,Layout,,,,,,,
7,1,Verbose,WordChannel,tskLineLayout,StopLineLayout,Layout,,,,,,,
8,0,Information,WordChannel,tskPageLayout,StartBuildPllrgPg,Layout,,,,,,,
9,0,Information,WordChannel,tskPageLayout,StopBuildPllrgPg,Layout,,,,,,,
10,1,Information,WordChannel,tskPageLayout,CreateAbdRc,Layout,,,,,,,
11,2,Information,WordChannel,tskDisplay,StartUpdateWwd,Display,,,,,,,
12,0,Information,WordChannel,tskDisplay,StopUpdateWwd,Display,,,,,,,
13,3,Information,WordChannel,tskDisplay,StartUpdatePr,Display,,,,,,,
14,0,Information,WordChannel,tskDisplay,StopUpdatePr,Display,,,,,,,
15,3,Information,WordChannel,tskDisplay,StartBuildDrus,Display,,,,,,,
16,0,Information,WordChannel,tskDisplay,StopBuildDrus,Display,,,,,,,
17,1,Information,WordChannel,,,None,,,,,,,
18,2,Verbose,WordChannel,tskDisplay,StartDrawDru,Display,,,,,,,
19,0,Verbose,WordChannel,tskDisplay,StopDrawDru,Display,,,,,,,
20,3,Information,WordChannel,tskTyping,StartTypedChar,KeyboardInput,,,,,,,
21,0,Information,WordChannel,tskTyping,StopTypedChar,KeyboardInput,,,,,,,
22,1,Information,WordChannel,tskTyping,StartTypingEvtMntr,KeyboardInput,,,,,,,
23,1,Information,WordChannel,tskTyping,StopTypingEvtMntr,KeyboardInput,,,,,,,
24,0,Information,WordChannel,tskTyping,StartTypingInvalInsert,KeyboardInput,,,,,,,
25,0,Information,WordChannel,tskTyping,StopTypingInvalInsert,KeyboardInput,,,,,,,
26,2,Information,WordChannel,tskTyping,EndInsertCalled,KeyboardInput,,,,,,,
27,2,Information,WordChannel,tskTyping,ChunkingSwitchedOn,KeyboardInput,,,,,,,
28,2,Information,WordChannel,tskTyping,ChunkingSwitchedOff,KeyboardInput,,,,,,,
29,2,Information,WordChannel,tskTyping,ChunkingSkippedWwdUpdate,KeyboardInput,,,,,,,
30,0,Verbose,WordChannel,tskPageLayout,LbcFormatPageAtnStart,Layout,,,,,,,
31,0,Verbose,WordChannel,tskPageLayout,LbcFormatPageAtnEnd,Layout,,,,,,,
32,0,Verbose,WordChannel,tskPageLayout,FserrBuildPllrgStart,Layout,,,,,,,
33,0,Verbose,WordChannel,tskPageLayout,FserrBuildPllrgEnd,Layout,,,,,,,
34,0,Verbose,WordChannel,tskDisplay,ElaborateHprStart,Display,,,,,,,
35,0,Verbose,WordChannel,tskDisplay,ElaborateHprEnd,Display,,,,,,,
36,0,Verbose,WordChannel,tskDisplay,DRB,Display,,,,,,,
37,0,Verbose,WordChannel,tskDisplay,DR,Display,,,,,,,
38,0,Verbose,WordChannel,tskDisplay,DRSEL,Display,,,,,,,
39,0,Verbose,WordChannel,tskDisplay,DRDO,Display,,,,,,,
40,0,Verbose,WordChannel,tskDisplay,DRG,Display,,,,,,,
41,0,Verbose,WordChannel,tskIdle,IdleLoopPassBegin,Idle,,,,,,,
42,0,Verbose,WordChannel,tskIdle,IdleLoopPassEnd,Idle,,,,,,,
46,4,Information,WordChannel,tskFileOpen,FileOpenStatus,FileOpen,,,,,,,
53,1,Information,WordChannel,tskDisplay,PageDirtyAreaReport,Display,,,,,,,
67,0,Information,WordChannel,tskCoauthMerge,CoauthCOAHrApplyContentStart,CoAuthoring,,,,,,,
68,0,Information,WordChannel,tskCoauthMerge,CoauthCOAHrApplyContentEnd,CoAuthoring,,,,,,,
69,2,Information,WordChannel,tskDocMerge,CmdDoDiffStart,ThreeWayMerge,,,,,,,
70,4,Information,WordChannel,tskDocMerge,CmdDoDiffEnd,ThreeWayMerge,,,,,,,
71,0,Verbose,WordChannel,tskDocMerge,DocPudMergeStart,ThreeWayMerge,,,,,,,
72,0,Verbose,WordChannel,tskDocMerge,DocMergePudMergeEnd,ThreeWayMerge,,,,,,,
73,0,Verbose,WordChannel,tskDocMerge,DocMergeFInitDocCompStart,ThreeWayMerge,,,,,,,
74,0,Verbose,WordChannel,tskDocMerge,DocMergeFInitDocCompEnd,ThreeWayMerge,,,,,,,
75,0,Verbose,WordChannel,tskDocMerge,DocMergeFMergeLocksStart,ThreeWayMerge,,,,,,,
76,0,Verbose,WordChannel,tskDocMerge,DocMergeFMergeLocksEnd,ThreeWayMerge,,,,,,,
